r non-Coulombic_BLPS full_BLPS
   0.0000010000 1000001.5451081210    1.5451081210
   2.4900000000   -0.0034311976   -0.4050376233
   2.5000000000   -0.0045583971   -0.4045583971
   2.5100000000   -0.0056224045   -0.4040287790
   2.5200000000   -0.0066248093   -0.4034502061
   2.5300000000   -0.0075671903   -0.4028241073
   2.5400000000   -0.0084511150   -0.4021519024
   2.5500000000   -0.0092781391   -0.4014350018
   2.5600000000   -0.0100498060   -0.4006748060
   2.5700000000   -0.0107676467   -0.3998727051
   2.5800000000   -0.0114331787   -0.3990300779
   2.5900000000   -0.0120479062   -0.3981482923
   2.6000000000   -0.0126133193   -0.3972287039
   2.6100000000   -0.0131308937   -0.3962726562
   2.6200000000   -0.0136020906   -0.3952814799
   2.6300000000   -0.0140283557   -0.3942564926
   2.6400000000   -0.0144111193   -0.3931989981
   2.6500000000   -0.0147517957   -0.3921102863
   2.6600000000   -0.0150517831   -0.3909916328
   2.6700000000   -0.0153124633   -0.3898442985
   2.6800000000   -0.0155352008   -0.3886695292
   2.6900000000   -0.0157213431   -0.3874685550
   2.7000000000   -0.0158722201   -0.3862425905
   2.7100000000   -0.0159891440   -0.3849928340
   2.7200000000   -0.0160734089   -0.3837204677
   2.7300000000   -0.0161262904   -0.3824266567
   2.7400000000   -0.0161490456   -0.3811125493
   2.7500000000   -0.0161429129   -0.3797792766
   2.7600000000   -0.0161091115   -0.3784279521
   2.7700000000   -0.0160488413   -0.3770596716
   2.7800000000   -0.0159632827   -0.3756755129
   2.7900000000   -0.0158535966   -0.3742765357
   2.8000000000   -0.0157209240   -0.3728637811
   2.8100000000   -0.0155663857   -0.3714382718
   2.8200000000   -0.0153910825   -0.3700010115
   2.8300000000   -0.0151960949   -0.3685529853
   2.8400000000   -0.0149824829   -0.3670951590
   2.8500000000   -0.0147512677   -0.3656284607
   2.8600000000   -0.0145035051   -0.3641538547
   2.8700000000   -0.0142401745   -0.3626722303
   2.8800000000   -0.0139622534   -0.3611844756
   2.8900000000   -0.0136706980   -0.3596914593
   2.9000000000   -0.0133664439   -0.3581940301
   2.9100000000   -0.0130504232   -0.3566930349
   2.9200000000   -0.0127234938   -0.3551892472
   2.9300000000   -0.0123865459   -0.3536834742
   2.9400000000   -0.0120404309   -0.3521764853
   2.9500000000   -0.0116859795   -0.3506690303
   2.9600000000   -0.0113240006   -0.3491618385
   2.9700000000   -0.0109552805   -0.3476556172
   2.9800000000   -0.0105805894   -0.3461510592
   2.9900000000   -0.0102006725   -0.3446488330
   3.0000000000   -0.0098162551   -0.3431495884
   3.0100000000   -0.0094280418   -0.3416539554
   3.0200000000   -0.0090367165   -0.3401625443
   3.0300000000   -0.0086429424   -0.3386759457
   3.0400000000   -0.0082473620   -0.3371947304
   3.0500000000   -0.0078505977   -0.3357194501
   3.0600000000   -0.0074532510   -0.3342506366
   3.0700000000   -0.0070559036   -0.3327888026
   3.0800000000   -0.0066591171   -0.3313344418
   3.0900000000   -0.0062634330   -0.3298880285
   3.1000000000   -0.0058693730   -0.3284500182
   3.1100000000   -0.0054774394   -0.3270208478
   3.1200000000   -0.0050881147   -0.3256009352
   3.1300000000   -0.0047018624   -0.3241906803
   3.1400000000   -0.0043191266   -0.3227904642
   3.1500000000   -0.0039403327   -0.3214006502
   3.1600000000   -0.0035658874   -0.3200215836
   3.1700000000   -0.0031961789   -0.3186535921
   3.1800000000   -0.0028315771   -0.3172969859
   3.1900000000   -0.0024724332   -0.3159520570
   3.2000000000   -0.0021190814   -0.3146190814
   3.2100000000   -0.0017718380   -0.3132983177
   3.2200000000   -0.0014310018   -0.3119900080
   3.2300000000   -0.0010968539   -0.3106943771
   3.2400000000   -0.0007696604   -0.3094116357
   3.2500000000   -0.0004496691   -0.3081419768
   3.2600000000   -0.0001371117   -0.3068855780
   3.2700000000    0.0001677959   -0.3056426016
   3.2800000000    0.0004648538   -0.3044131949
   3.2900000000    0.0007538777   -0.3031974901
   3.3000000000    0.0010346983   -0.3019956048
   3.3100000000    0.0013071615   -0.3008076421
   3.3200000000    0.0015711279   -0.2996336914
   3.3300000000    0.0018264721   -0.2984738282
   3.3400000000    0.0020730837   -0.2973281139
   3.3500000000    0.0023108654   -0.2961965973
   3.3600000000    0.0025397335   -0.2950793141
   3.3700000000    0.0027596176   -0.2939762874
   3.3800000000    0.0029704602   -0.2928875280
   3.3900000000    0.0031722162   -0.2918130345
   3.4000000000    0.0033648531   -0.2907527939
   3.4100000000    0.0035483503   -0.2897067817
   3.4200000000    0.0037226983   -0.2886749625
   3.4300000000    0.0038878998   -0.2876572898
   3.4400000000    0.0040439678   -0.2866537067
   3.4500000000    0.0041909263   -0.2856641461
   3.4600000000    0.0043288098   -0.2846885312
   3.4700000000    0.0044576627   -0.2837267754
   3.4800000000    0.0045775389   -0.2827787829
   3.4900000000    0.0046885022   -0.2818444491
   3.5000000000    0.0047906251   -0.2809236606
   3.5100000000    0.0048839891   -0.2800162958
   3.5200000000    0.0049686840   -0.2791222251
   3.5300000000    0.0050448079   -0.2782413110
   3.5400000000    0.0051124667   -0.2773734090
   3.5500000000    0.0051717736   -0.2765183673
   3.5600000000    0.0052228492   -0.2756760272
   3.5700000000    0.0052658209   -0.2748462239
   3.5800000000    0.0053008228   -0.2740287861
   3.5900000000    0.0053279950   -0.2732235371
   3.6000000000    0.0053474837   -0.2724302941
   3.6100000000    0.0053594407   -0.2716488695
   3.6200000000    0.0053640233   -0.2708790706
   3.6300000000    0.0053613937   -0.2701207000
   3.6400000000    0.0053517187   -0.2693735560
   3.6500000000    0.0053351699   -0.2686374329
   3.6600000000    0.0053119227   -0.2679121210
   3.6700000000    0.0052821566   -0.2671974074
   3.6800000000    0.0052460545   -0.2664930760
   3.6900000000    0.0052038029   -0.2657989071
   3.7000000000    0.0051555910   -0.2651146793
   3.7100000000    0.0051016109   -0.2644401681
   3.7200000000    0.0050420571   -0.2637751472
   3.7300000000    0.0049771265   -0.2631193882
   3.7400000000    0.0049070176   -0.2624726616
   3.7500000000    0.0048319308   -0.2618347358
   3.7600000000    0.0047520681   -0.2612053787
   3.7700000000    0.0046676322   -0.2605843572
   3.7800000000    0.0045788274   -0.2599714372
   3.7900000000    0.0044858581   -0.2593663846
   3.8000000000    0.0043889296   -0.2587689652
   3.8100000000    0.0042882470   -0.2581789446
   3.8200000000    0.0041840158   -0.2575960889
   3.8300000000    0.0040764411   -0.2570201646
   3.8400000000    0.0039657276   -0.2564509390
   3.8500000000    0.0038520793   -0.2558881804
   3.8600000000    0.0037356995   -0.2553316580
   3.8700000000    0.0036167903   -0.2547811426
   3.8800000000    0.0034955527   -0.2542364061
   3.8900000000    0.0033721858   -0.2536972229
   3.9000000000    0.0032468880   -0.2531633684
   3.9100000000    0.0031198551   -0.2526346207
   3.9200000000    0.0029912811   -0.2521107597
   3.9300000000    0.0028613582   -0.2515915680
   3.9400000000    0.0027302770   -0.2510768296
   3.9500000000    0.0025982217   -0.2505663352
   3.9600000000    0.0024653800   -0.2500598725
   3.9700000000    0.0023319327   -0.2495572360
