q non-Coulombic_BLPS full_BLPS
   0.8130000000   24.2575427473    5.2455004058
   0.8160000000   24.2248635697    5.3523586822
   0.8190000000   24.1920938557    5.4575958537
   0.8220000000   24.1592337828    5.5612344009
   0.8250000000   24.1262835348    5.6632964062
   0.8280000000   24.0932433111    5.7638035716
   0.8310000000   24.0601133141    5.8627772144
   0.8340000000   24.0268937584    5.9602382852
   0.8370000000   23.9935848687    6.0562073736
   0.8400000000   23.9601868803    6.1507047171
   0.8430000000   23.9267000394    6.2437502086
   0.8460000000   23.8931246035    6.3353634044
   0.8490000000   23.8594608413    6.4255635321
   0.8520000000   23.8257090336    6.5143694979
   0.8550000000   23.7918694730    6.6017998935
   0.8580000000   23.7579424643    6.6878730037
   0.8610000000   23.7239283245    6.7726068128
   0.8640000000   23.6898274176    6.8560190458
   0.8670000000   23.6556399834    6.9381270035
   0.8700000000   23.6213664795    7.0189479112
   0.8730000000   23.5870072396    7.0984985825
   0.8760000000   23.5525626447    7.1767955966
   0.8790000000   23.5180330886    7.2538552694
   0.8820000000   23.4834189780    7.3296936599
   0.8850000000   23.4487207327    7.4043265748
   0.8880000000   23.4139387854    7.4777695743
   0.8910000000   23.3790735815    7.5500379774
   0.8940000000   23.3441255793    7.6211468667
   0.8970000000   23.3090952498    7.6911110931
   0.9000000000   23.2739830764    7.7599452809
   0.9030000000   23.2387895550    7.8276638324
   0.9060000000   23.2035151936    7.8942809320
   0.9090000000   23.1681605121    7.9598105508
   0.9120000000   23.1327260424    8.0242664511
   0.9150000000   23.0972123278    8.0876621897
   0.9180000000   23.0616199229    8.1500111229
   0.9210000000   23.0259493931    8.2113264094
   0.9240000000   22.9902013149    8.2716210147
   0.9270000000   22.9543762747    8.3309077145
   0.9300000000   22.9184748692    8.3891990982
   0.9330000000   22.8824977047    8.4465075723
   0.9360000000   22.8464453969    8.5028453640
   0.9390000000   22.8103185701    8.5582245241
   0.9420000000   22.7741178575    8.6126569301
   0.9450000000   22.7378439001    8.6661542897
   0.9480000000   22.7014973469    8.7187281433
   0.9510000000   22.6650788539    8.7703898670
   0.9540000000   22.6285890838    8.8211506756
   0.9570000000   22.5920287059    8.8710216247
   0.9600000000   22.5553983954    8.9200136142
   0.9630000000   22.5186988326    8.9681373901
   0.9660000000   22.4819307029    9.0154035473
   0.9690000000   22.4450946961    9.0618225322
   0.9720000000   22.4081915062    9.1074046445
   0.9750000000   22.3712218302    9.1521600399
   0.9780000000   22.3341863684    9.1960987325
   0.9810000000   22.2970858249    9.2392305976
   0.9840000000   22.2599209014    9.2815653690
   0.9870000000   22.2226923054    9.3231126490
   0.9900000000   22.1854007463    9.3638819070
   0.9930000000   22.1480469252    9.4038824725
   0.9960000000   22.1106315559    9.4431235577
   0.9990000000   22.0731553436    9.4816142386
   1.0020000000   22.0356189931    9.5193634659
   1.0050000000   21.9980232135    9.5563800716
   1.0080000000   21.9603687023    9.5926727556
   1.0110000000   21.9226561620    9.6282501040
   1.0140000000   21.8848862901    9.6631205817
   1.0170000000   21.8470597812    9.6972925359
   1.0200000000   21.8091773258    9.7307741979
   1.0230000000   21.7712396107    9.7635736843
   1.0260000000   21.7332473180    9.7956989989
   1.0290000000   21.6952011249    9.8271580340
   1.0320000000   21.6571017035    9.8579585721
   1.0350000000   21.6189497202    9.8881082870
   1.0380000000   21.5807458356    9.9176147454
   1.0410000000   21.5424907038    9.9464854086
   1.0440000000   21.5041849725    9.9747276334
   1.0470000000   21.4658292823   10.0023486738
   1.0500000000   21.4274242669   10.0293556824
   1.0530000000   21.3889705524   10.0557557116
   1.0560000000   21.3504687572   10.0815557149
   1.0590000000   21.3119194921   10.1067625484
   1.0620000000   21.2733233593   10.1313829719
   1.0650000000   21.2346809533   10.1554236504
   1.0680000000   21.1959928597   10.1788911554
   1.0710000000   21.1572596558   10.2017919660
   1.0740000000   21.1184819099   10.2241324702
   1.0770000000   21.0796601818   10.2459189663
   1.0800000000   21.0407950222   10.2671576642
   1.0830000000   21.0018869728   10.2878546864
   1.0860000000   20.9629365665   10.3080160696
   1.0890000000   20.9239443268   10.3276477654
   1.0920000000   20.8849107685   10.3467556424
   1.0950000000   20.8458363972   10.3653454864
   1.0980000000   20.8067217094   10.3834230024
   1.1010000000   20.7675671929   10.4009938158
   1.1040000000   20.7283733265   10.4180634730
   1.1070000000   20.6891405800   10.4346374433
   1.1100000000   20.6498694150   10.4507211199
   1.1130000000   20.6105602840   10.4663198208
   1.1160000000   20.5712136316   10.4814387906
   1.1190000000   20.5318298938   10.4960832012
   1.1220000000   20.4924094987   10.5102581533
   1.1250000000   20.4529528665   10.5239686774
   1.1280000000   20.4134604098   10.5372197353
   1.1310000000   20.3739325336   10.5500162210
