1400    0.0100000000
   5.7400000000    0.0000002005   -0.0000006662
   5.7500000000    0.0000001925   -0.0000006397
   5.7600000000    0.0000001860   -0.0000006180
   5.7700000000    0.0000001810   -0.0000006014
   5.7800000000    0.0000001760   -0.0000005848
   5.7900000000    0.0000001710   -0.0000005682
   5.8000000000    0.0000001660   -0.0000005516
   5.8100000000    0.0000001611   -0.0000005349
   5.8200000000    0.0000001561   -0.0000005183
   5.8300000000    0.0000001511   -0.0000005017
   5.8400000000    0.0000001461   -0.0000004851
   5.8500000000    0.0000001411   -0.0000004685
   5.8600000000    0.0000001361   -0.0000004519
   5.8700000000    0.0000001311   -0.0000004353
   5.8800000000    0.0000001261   -0.0000004187
   5.8900000000    0.0000001212   -0.0000004021
   5.9000000000    0.0000001167   -0.0000003872
   5.9100000000    0.0000001136   -0.0000003769
   5.9200000000    0.0000001105   -0.0000003666
   5.9300000000    0.0000001074   -0.0000003563
   5.9400000000    0.0000001043   -0.0000003461
   5.9500000000    0.0000001012   -0.0000003358
   5.9600000000    0.0000000981   -0.0000003255
   5.9700000000    0.0000000950   -0.0000003152
   5.9800000000    0.0000000920   -0.0000003050
   5.9900000000    0.0000000889   -0.0000002947
   6.0000000000    0.0000000858   -0.0000002844
   6.0100000000    0.0000000827   -0.0000002741
   6.0200000000    0.0000000796   -0.0000002638
   6.0300000000    0.0000000765   -0.0000002536
   6.0400000000    0.0000000734   -0.0000002433
   6.0500000000    0.0000000712   -0.0000002358
